model_name,seg_method,input_method,aug_type,model_type,parameters,training_time_seconds,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_f1_mean,test_f1_std,seed_runs
SG-OTSU-cropping_heavy_mobilenetv3,otsu,cropping,heavy,mobilenetv3,1557831,21914.295296669006,0.9865374259558427,0.0032981322068873333,0.9869163440215442,0.003000608079108705,0.9865487483017373,0.003269591198495216,"[{'seed': 42, 'test_accuracy': 0.9895889427391851, 'test_precision': 0.9898108760478448, 'test_recall': 0.9895889427391851, 'test_f1_score': 0.9895768152715692, 'training_time_seconds': 4492.60779094696, 'best_epoch': 32}, {'seed': 43, 'test_accuracy': 0.9892299407646742, 'test_precision': 0.9893610800670593, 'test_recall': 0.9892299407646742, 'test_f1_score': 0.9892150651906307, 'training_time_seconds': 5421.895961523056, 'best_epoch': 42}, {'seed': 44, 'test_accuracy': 0.9854604200323102, 'test_precision': 0.9856799658074817, 'test_recall': 0.9854604200323102, 'test_f1_score': 0.9854584319340444, 'training_time_seconds': 3546.492287874222, 'best_epoch': 25}, {'seed': 45, 'test_accuracy': 0.9806138933764136, 'test_precision': 0.9816463815334558, 'test_recall': 0.9806138933764136, 'test_f1_score': 0.9806840477750057, 'training_time_seconds': 3037.6414399147034, 'best_epoch': 21}, {'seed': 46, 'test_accuracy': 0.9877939328666308, 'test_precision': 0.9880834166518784, 'test_recall': 0.9877939328666308, 'test_f1_score': 0.9878093813374369, 'training_time_seconds': 5415.657816410065, 'best_epoch': 41}]"
SG-OTSU-cropping_standard_mobilenetv3,otsu,cropping,standard,mobilenetv3,1557831,10477.549288272858,0.9852091186501527,0.005403665473983639,0.985487170156809,0.005226944373407577,0.9851552859088173,0.0054387123784994116,"[{'seed': 42, 'test_accuracy': 0.980793394363669, 'test_precision': 0.9810473577952906, 'test_recall': 0.980793394363669, 'test_f1_score': 0.9805685147678422, 'training_time_seconds': 1300.8687908649445, 'best_epoch': 6}, {'seed': 43, 'test_accuracy': 0.9822294022617124, 'test_precision': 0.9825305770475394, 'test_recall': 0.9822294022617124, 'test_f1_score': 0.9821983731116202, 'training_time_seconds': 1518.4950830936432, 'best_epoch': 12}, {'seed': 44, 'test_accuracy': 0.9915634535989948, 'test_precision': 0.9916048036368957, 'test_recall': 0.9915634535989948, 'test_f1_score': 0.991544434549897, 'training_time_seconds': 3130.1741530895233, 'best_epoch': 35}, {'seed': 45, 'test_accuracy': 0.9919224555735057, 'test_precision': 0.9920387593157625, 'test_recall': 0.9919224555735057, 'test_f1_score': 0.9919224026127275, 'training_time_seconds': 3343.568081855774, 'best_epoch': 40}, {'seed': 46, 'test_accuracy': 0.979536887452881, 'test_precision': 0.9802143529885564, 'test_recall': 0.979536887452881, 'test_f1_score': 0.9795427045019999, 'training_time_seconds': 1184.4431793689728, 'best_epoch': 9}]"
SG-OTSU-masking_heavy_efficientnet_b0,otsu,masking,heavy,efficientnet_b0,4057507,5096.843935251236,0.9840244121342667,0.0036114956280622647,0.9845242464186359,0.003374687956218002,0.9840083441234517,0.0036189875102143965,"[{'seed': 42, 'test_accuracy': 0.9877939328666308, 'test_precision': 0.9881321753794242, 'test_recall': 0.9877939328666308, 'test_f1_score': 0.9877842632246377, 'training_time_seconds': 1294.8866653442383, 'best_epoch': 34}, {'seed': 43, 'test_accuracy': 0.980793394363669, 'test_precision': 0.9812979403299272, 'test_recall': 0.980793394363669, 'test_f1_score': 0.9807432618652738, 'training_time_seconds': 742.4026970863342, 'best_epoch': 18}, {'seed': 44, 'test_accuracy': 0.9881529348411416, 'test_precision': 0.988409554355216, 'test_recall': 0.9881529348411416, 'test_f1_score': 0.988133981099622, 'training_time_seconds': 1419.556114912033, 'best_epoch': 48}, {'seed': 45, 'test_accuracy': 0.9791778854783701, 'test_precision': 0.9802323759758479, 'test_recall': 0.9791778854783701, 'test_f1_score': 0.9791605123266363, 'training_time_seconds': 735.0044417381287, 'best_epoch': 18}, {'seed': 46, 'test_accuracy': 0.9842039131215222, 'test_precision': 0.9845491860527645, 'test_recall': 0.9842039131215222, 'test_f1_score': 0.9842197021010886, 'training_time_seconds': 904.9940161705017, 'best_epoch': 24}]"
SG-OTSU-masking_standard_mobilenetv2,otsu,masking,standard,mobilenetv2,2899751,9984.316295146942,0.9836295099623047,0.006826137216334936,0.9840893103721701,0.006528000970013174,0.9836094999607067,0.006814633804562172,"[{'seed': 42, 'test_accuracy': 0.9761263686950278, 'test_precision': 0.9769143436391579, 'test_recall': 0.9761263686950278, 'test_f1_score': 0.9760121101718799, 'training_time_seconds': 1509.6583523750305, 'best_epoch': 13}, {'seed': 43, 'test_accuracy': 0.9921019565607611, 'test_precision': 0.9921938865806423, 'test_recall': 0.9921019565607611, 'test_f1_score': 0.9920823905283888, 'training_time_seconds': 2902.1701698303223, 'best_epoch': 44}, {'seed': 44, 'test_accuracy': 0.9885119368156525, 'test_precision': 0.9886394130615698, 'test_recall': 0.9885119368156525, 'test_f1_score': 0.9884715831018053, 'training_time_seconds': 2378.5589697360992, 'best_epoch': 33}, {'seed': 45, 'test_accuracy': 0.9863579249685873, 'test_precision': 0.9868354648162869, 'test_recall': 0.9863579249685873, 'test_f1_score': 0.9863347305331258, 'training_time_seconds': 2149.2130053043365, 'best_epoch': 29}, {'seed': 46, 'test_accuracy': 0.9750493627714952, 'test_precision': 0.9758634437631937, 'test_recall': 0.9750493627714952, 'test_f1_score': 0.9751466854683336, 'training_time_seconds': 1044.7157979011536, 'best_epoch': 10}]"
SG-OTSU-masking_standard_shufflenetv2,otsu,masking,standard,shufflenetv2,1293579,22345.46168756485,0.982911506013283,0.005727628706720109,0.9833411105660008,0.005481794592017664,0.9828876065510354,0.005712204365280193,"[{'seed': 42, 'test_accuracy': 0.982049901274457, 'test_precision': 0.9825008127497181, 'test_recall': 0.982049901274457, 'test_f1_score': 0.9820276789707318, 'training_time_seconds': 2624.7742981910706, 'best_epoch': 26}, {'seed': 43, 'test_accuracy': 0.9856399210195657, 'test_precision': 0.9858902963511572, 'test_recall': 0.9856399210195657, 'test_f1_score': 0.9856128576282756, 'training_time_seconds': 2765.9056358337402, 'best_epoch': 28}, {'seed': 44, 'test_accuracy': 0.9865374259558427, 'test_precision': 0.9868303699550321, 'test_recall': 0.9865374259558427, 'test_f1_score': 0.9864762292258771, 'training_time_seconds': 4985.33354473114, 'best_epoch': 40}, {'seed': 45, 'test_accuracy': 0.9721773469754084, 'test_precision': 0.9730817297098885, 'test_recall': 0.9721773469754084, 'test_f1_score': 0.9721847652506023, 'training_time_seconds': 4822.942484140396, 'best_epoch': 15}, {'seed': 46, 'test_accuracy': 0.9881529348411416, 'test_precision': 0.9884023440642076, 'test_recall': 0.9881529348411416, 'test_f1_score': 0.9881365016796906, 'training_time_seconds': 7146.505724668503, 'best_epoch': 40}]"
Baseline_heavy_mobilenetv2,none,raw,heavy,mobilenetv2,2899751,15635.202542304993,0.9828038054209298,0.011948025826228108,0.9839130195325936,0.01077552210743476,0.9827055900425419,0.012120418540013818,"[{'seed': 42, 'test_accuracy': 0.9781008795548376, 'test_precision': 0.980081587835978, 'test_recall': 0.9781008795548376, 'test_f1_score': 0.9781744775119391, 'training_time_seconds': 2630.408866405487, 'best_epoch': 14}, {'seed': 43, 'test_accuracy': 0.9944354693950817, 'test_precision': 0.9945297409546477, 'test_recall': 0.9944354693950817, 'test_f1_score': 0.9944244559270761, 'training_time_seconds': 5376.834520339966, 'best_epoch': 44}, {'seed': 44, 'test_accuracy': 0.961586788727338, 'test_precision': 0.9646489233716561, 'test_recall': 0.961586788727338, 'test_f1_score': 0.9610722034888151, 'training_time_seconds': 1437.2775523662567, 'best_epoch': 5}, {'seed': 45, 'test_accuracy': 0.9885119368156525, 'test_precision': 0.9887034515783452, 'test_recall': 0.9885119368156525, 'test_f1_score': 0.9884589923907076, 'training_time_seconds': 2184.9338636398315, 'best_epoch': 12}, {'seed': 46, 'test_accuracy': 0.9913839526117394, 'test_precision': 0.9916013939223415, 'test_recall': 0.9913839526117394, 'test_f1_score': 0.9913978208941715, 'training_time_seconds': 4005.7477395534515, 'best_epoch': 28}]"
SG-KMEANS-cropping_heavy_efficientnet_b0,kmeans,cropping,heavy,efficientnet_b0,4057507,5463.609905004501,0.9825525040387723,0.0036916157503027246,0.9828128406151018,0.003509903593319711,0.9825308408300277,0.003679671534539019,"[{'seed': 42, 'test_accuracy': 0.9870759289176091, 'test_precision': 0.9871112662680002, 'test_recall': 0.9870759289176091, 'test_f1_score': 0.9870486430450734, 'training_time_seconds': 1515.7842795848846, 'best_epoch': 49}, {'seed': 43, 'test_accuracy': 0.9786393825166039, 'test_precision': 0.9792901422727031, 'test_recall': 0.9786393825166039, 'test_f1_score': 0.978634958556514, 'training_time_seconds': 819.1469683647156, 'best_epoch': 21}, {'seed': 44, 'test_accuracy': 0.9867169269430982, 'test_precision': 0.9868162690574473, 'test_recall': 0.9867169269430982, 'test_f1_score': 0.9866821969117155, 'training_time_seconds': 1409.9163286685944, 'best_epoch': 46}, {'seed': 45, 'test_accuracy': 0.9788188835038593, 'test_precision': 0.9791458345960814, 'test_recall': 0.9788188835038593, 'test_f1_score': 0.9788240440868169, 'training_time_seconds': 737.2680101394653, 'best_epoch': 18}, {'seed': 46, 'test_accuracy': 0.9815113983126907, 'test_precision': 0.9817006908812771, 'test_recall': 0.9815113983126907, 'test_f1_score': 0.981464361550019, 'training_time_seconds': 981.4943182468414, 'best_epoch': 26}]"
SG-OTSU-masking_standard_mobilenetv3,otsu,masking,standard,mobilenetv3,1557831,13321.066822767258,0.9815831987075928,0.01552018309781268,0.9823394452649982,0.014344104592669773,0.9814956541632206,0.01569484766108661,"[{'seed': 42, 'test_accuracy': 0.9888709387901633, 'test_precision': 0.9890799795780196, 'test_recall': 0.9888709387901633, 'test_f1_score': 0.9888983061153767, 'training_time_seconds': 3709.8640010356903, 'best_epoch': 45}, {'seed': 43, 'test_accuracy': 0.9929994614970382, 'test_precision': 0.9931062481782247, 'test_recall': 0.9929994614970382, 'test_f1_score': 0.9930051618810024, 'training_time_seconds': 3452.549645423889, 'best_epoch': 42}, {'seed': 44, 'test_accuracy': 0.9885119368156525, 'test_precision': 0.9887089055231278, 'test_recall': 0.9885119368156525, 'test_f1_score': 0.9885105251496157, 'training_time_seconds': 3106.1819026470184, 'best_epoch': 31}, {'seed': 45, 'test_accuracy': 0.9867169269430982, 'test_precision': 0.9868598903764204, 'test_recall': 0.9867169269430982, 'test_f1_score': 0.9866850906254675, 'training_time_seconds': 1987.0483486652374, 'best_epoch': 18}, {'seed': 46, 'test_accuracy': 0.9508167294920122, 'test_precision': 0.9539422026691986, 'test_recall': 0.9508167294920122, 'test_f1_score': 0.9503791870446405, 'training_time_seconds': 1065.4229249954224, 'best_epoch': 6}]"
Baseline_heavy_shufflenetv2,none,raw,heavy,shufflenetv2,1293579,19903.669228076935,0.980039490217196,0.005836846605448079,0.981631513214958,0.004512175996863171,0.9799936510435355,0.0057717240773427535,"[{'seed': 42, 'test_accuracy': 0.9700233351283432, 'test_precision': 0.9742257958374897, 'test_recall': 0.9700233351283432, 'test_f1_score': 0.970032338975716, 'training_time_seconds': 2416.0792422294617, 'best_epoch': 11}, {'seed': 43, 'test_accuracy': 0.9770238736313049, 'test_precision': 0.9788482175682985, 'test_recall': 0.9770238736313049, 'test_f1_score': 0.9771649774150235, 'training_time_seconds': 3244.194823741913, 'best_epoch': 20}, {'seed': 44, 'test_accuracy': 0.9831269071979896, 'test_precision': 0.9839523444508828, 'test_recall': 0.9831269071979896, 'test_f1_score': 0.9829774624303833, 'training_time_seconds': 3940.614307165146, 'best_epoch': 26}, {'seed': 45, 'test_accuracy': 0.9840244121342667, 'test_precision': 0.9843683412619906, 'test_recall': 0.9840244121342667, 'test_f1_score': 0.9838124864218237, 'training_time_seconds': 4976.974814414978, 'best_epoch': 35}, {'seed': 46, 'test_accuracy': 0.9859989229940764, 'test_precision': 0.9867628669561284, 'test_recall': 0.9859989229940764, 'test_f1_score': 0.9859809899747315, 'training_time_seconds': 5325.806040525436, 'best_epoch': 38}]"
SG-OTSU-cropping_heavy_shufflenetv2,otsu,cropping,heavy,shufflenetv2,1293579,15001.078036308289,0.9794291868605278,0.001355678161084128,0.9803810211284674,0.0013342591544828638,0.979390920964698,0.0013910073100551722,"[{'seed': 42, 'test_accuracy': 0.9800753904146473, 'test_precision': 0.9809782081543569, 'test_recall': 0.9800753904146473, 'test_f1_score': 0.9801109099381875, 'training_time_seconds': 1164.9942367076874, 'best_epoch': 25}, {'seed': 43, 'test_accuracy': 0.9806138933764136, 'test_precision': 0.9813765682166006, 'test_recall': 0.9806138933764136, 'test_f1_score': 0.9805515733448863, 'training_time_seconds': 4116.725723981857, 'best_epoch': 28}, {'seed': 44, 'test_accuracy': 0.978280380542093, 'test_precision': 0.9792470720506311, 'test_recall': 0.978280380542093, 'test_f1_score': 0.9780090882340737, 'training_time_seconds': 3437.1479077339172, 'best_epoch': 22}, {'seed': 45, 'test_accuracy': 0.9773828756058158, 'test_precision': 0.9783962926393723, 'test_recall': 0.9773828756058158, 'test_f1_score': 0.9774422312302786, 'training_time_seconds': 2506.2934126853943, 'best_epoch': 14}, {'seed': 46, 'test_accuracy': 0.980793394363669, 'test_precision': 0.9819069645813758, 'test_recall': 0.980793394363669, 'test_f1_score': 0.9808408020760638, 'training_time_seconds': 3775.9167551994324, 'best_epoch': 25}]"
