Model,Params (M),MACs (G),Size (MB),Inference (ms)
mobilenetv2,2.899751,0.326882048,11.329527854919434,3.053603172302246
squeezenet,0.742503,0.266005158,2.857224464416504,1.383352279663086
shufflenetv2,1.293579,0.151724728,5.112818717956543,3.603992462158203
mobilenetv3,1.557831,0.06149388,6.1217451095581055,2.895030975341797
efficientnet_b0,4.057507,0.413914944,15.866583824157715,4.614062309265137
